number,category,categories,state,created,labels,title
2347,security,security,CLOSED,2026-09-01,code-quality,"Two surviving ""Haven authorises"" attribution inversions outside the shipped skill copy (mcp-server/tools.ts, signer/core.ts)"
2343,contract-drift,contract-drift,CLOSED,2026-09-01,code-quality|money-path|area:backend|area:mcp,"x402 guided catalog purchase: merchant-call-context returns mcp_transport with camelCase innards, so settle refuses its own rehydrated value"
2341,logic-bug,logic-bug,CLOSED,2026-09-01,code-quality|money-path|area:sdk|area:mcp,"x402 erc7710: the #2289 dual header exceeds the merchant's header limit — HTTP 431, every erc7710 settlement broken"
2340,flake,flake,CLOSED,2026-09-01,qa-failure,qa-dev money-flow failed (2026-09-01)
2334,security,security,CLOSED,2026-08-31,code-quality|area:frontend,"Downloadable SKILL.md says ""the amount Haven authorizes"", inverting the CASP attribution rule (agent-skill-bundle.ts / skill-content.ts)"
2333,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:frontend|area:ci,Two more rendered-copy modules under src/lib are unscanned by the copy lint: passkeyLabels.ts and transaction-labels.ts / transaction-presentation.tsx
2332,copy-ux,copy-ux,CLOSED,2026-08-31,code-quality|area:frontend,"passkey.ts:93 carries a banned copy phrase (""WebAuthn credential"") in a thrown Error that is not user-rendered today"
2330,stale-doc,stale-doc,CLOSED,2026-08-31,code-quality|money-path|area:sdk|area:mcp,x402 v2: every MANUAL-retry instruction still names X-PAYMENT only — the original bug survives on the path Haven prescribes
2329,flake,flake,CLOSED,2026-08-31,code-quality,"resetDb()-first backend tests time out under CI contention — flaky required check, no timeout budget on the harness reset"
2328,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality,GET /machine-payments/allowances has no expectMatchesSpec round trip for AllowanceSummary
2327,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality,operator-verify close guard false-positives on a PR that declares it is NOT in operator-verify mode
2325,copy-ux,copy-ux,CLOSED,2026-08-31,code-quality|area:frontend,/agents: at 390 the MCP server-name chip is cut to `haven…` because the last-activity stamp is `shrink-0`
2323,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:docs|area:ci,"docs:coupling is satisfied by a shard the author writes, so a parent doc's body is never re-read — #2274 shipped a false CASP sentence past a green gate"
2321,process,process,OPEN,2026-08-31,code-quality|area:docs|area:ci|operator-verify,Repo CI config checks is not a required status check — gated only through one untested shell line in the aggregator
2320,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:ci,"operator-verify guard reads only the PR body, so PR #2314's own commit message closed #2268 — the second time, by the fix"
2319,flake,flake,CLOSED,2026-08-31,code-quality|area:frontend,Four modal suites time out only under full-suite load — the attributed cause accounts for 146ms of a 214s delta
2318,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:frontend|area:ci,"Visual regression blocks on /design-system alone, so a green tick says nothing about any product screen"
2317,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:frontend|area:ci,"frontend-copy-lint scans only app/ and components/, so the required copy check sees none of agent-skill-bundle.ts — user-downloadable prose"
2313,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-31,code-quality|area:docs,safe-retirement: three docs in three directories still reason about the retired approval queue as live (#1989 residue)
2312,contract-drift,contract-drift,CLOSED,2026-08-31,code-quality|money-path|area:mcp,mcp-server: only one hosted tool parses strictly — the other twenty silently strip undeclared arguments
2310,process,process,CLOSED,2026-08-31,code-quality|area:docs,"npm: the `latest` dist-tag on all five @haven_ai packages points at an ancient version, so #2242's false security claim is still the published signer README"
2307,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|money-path|area:backend,56 unfalsifiable money-path guards: the backend test tree mocks five symbols that rails/allowance-module.ts does not export
2302,feature,feature,CLOSED,2026-08-31,code-quality,Agent-discovery analytics: agent-crawler logging + connect source attribution
2301,feature,feature,CLOSED,2026-08-31,code-quality,GTM Agent Discovery (AEO) Phase 0: agent-readable discovery artifacts
2300,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|money-path|area:mcp|area:docs,"money-path: packages/mcp-server/** is absent from the globs, yet tools.ts decides whether a funding userop is relayed and in what order"
2298,other,other,CLOSED,2026-08-31,code-quality|area:frontend,Decision: no visual baseline for an agent card's budget amount on /agents — the fixture ships a shape the live route does not send
2295,contract-drift,contract-drift,CLOSED,2026-08-31,code-quality,"allowance_amount carries two wire shapes under one field name — atomic on AgentConnectionAllowance, human-decimal on AgentAllowance"
2293,logic-bug,logic-bug,CLOSED,2026-08-31,money-path|area:backend,sweep: lower the 1 USDC floor to 0.01 — it strands ordinary x402 micropayments
2292,feature,feature,CLOSED,2026-08-31,money-path|area:backend|area:sdk|area:mcp,x402: no way for an agent to report a plain-HTTP merchant retry outcome
2291,logic-bug,logic-bug,CLOSED,2026-08-31,money-path|area:sdk|area:mcp|area:docs,x402 signer: haven_sign_x402 consumes the binding its own guidance tells you to reuse
2290,logic-bug,logic-bug,CLOSED,2026-08-31,money-path|area:backend|area:mcp,x402: funded-but-unsettled resume is a dead end — retry_original_x402_request cannot be acted on
2289,logic-bug,logic-bug,CLOSED,2026-08-31,money-path|area:sdk|area:mcp|area:docs,x402: send PAYMENT-SIGNATURE alongside X-PAYMENT on every merchant retry
2288,feature,feature,CLOSED,2026-08-31,epic|money-path|area:backend|area:sdk|area:mcp,"Epic: x402 v2 merchant leg — wrong header name, and an unreachable recovery path"
2286,feature,feature,CLOSED,2026-08-31,documentation,Docs staleness audit (weekly)
2284,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:frontend,"e2e: is the connected-EOA collapsed WalletButton state reachable for any spend-capable user, now that the Safe rail is retired?"
2283,logic-bug,logic-bug,CLOSED,2026-08-31,code-quality|area:frontend,"/agents renders a delegation agent's budget as ""250.000000 USDC"" — formatConfiguredAllowance throws on the decimal string the live rail emits"
2282,logic-bug,logic-bug,CLOSED,2026-08-31,bug|money-path|area:backend|area:mcp,x402 quote-first settle: funding relayed before merchant-context check; snake_case mcp_transport required but camelCase silently ignored
2279,feature,feature,CLOSED,2026-08-31,area:sdk,"Connect: print the approve-budget CTA when the dashboard button actually unlocks, and give the approval wait loop elapsed-time/timeout visibility"
2278,copy-ux,copy-ux,CLOSED,2026-08-31,area:backend,"Setup prompt: say the connect command needs network access, so sandboxed agent harnesses escalate on the first attempt"
2276,process,process,CLOSED,2026-08-31,code-quality|area:docs,"ship-next: `Closes #<issue>` is unconditional, so operator-verify mode cannot keep its issue open"
2274,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|money-path|area:backend,retired-rail accounts are told which assets they can pay with before they are told the rail is gone — /payments and /x402/authorize
2273,process,process,CLOSED,2026-08-31,code-quality|area:ci|operator-verify,Consider moving the post-deploy QA trigger in-repo via `deployment_status` — Railway does create real GitHub Deployments
2271,false-instrument,false-instrument,CLOSED,2026-08-31,code-quality|area:ci,"qa-dev post-deploy trigger: a manual confirmation dispatch is indistinguishable from a real one, so the freshness alarm can be muted by curl"
2268,process,process,CLOSED,2026-08-31,code-quality|area:ci|operator-verify,The `dev-deployed` post-deploy QA trigger has never fired — freshness rests on the nightly cron alone
2266,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:frontend|area:backend,safe-retirement: copy and dead-code sweep — the residue a user or contributor actually reads
2265,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-31,code-quality|area:docs,safe-retirement: five live doc sections still present the approval queue and the AllowanceModule two-leg as current
2264,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:frontend|area:backend|ci-health,"safe-retirement: the CI harness pins the retired rail — e2e fixture default, phantom ratchet entries, dead smoke query, missing money-path entry"
2263,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|money-path|area:backend,"safe-retirement: drop the inert schema and fix the user_safes.execution_rail default, which still points at the retired rail"
2262,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|money-path|area:backend|area:sdk,"safe-retirement: the SDK's 'approved' branch still says wait, and the OpenAPI schema layer still declares the queue"
2261,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:frontend,safe-retirement: delete PasskeyEnrollFlow — the dead onboarding flow #1989 deferred to itself
2260,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:backend,safe-retirement: remove contracts.allowanceModule from the shared chain registry (depends on #2257 #2258 #2259)
2259,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|money-path|area:backend,safe-retirement: delete the backend legacy connect-approval half and the last two AllowanceModule readers (depends on #2258)
2258,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|area:frontend,"safe-retirement: delete the legacy Safe agent surfaces from the dashboard — connect, budget, manage and revoke"
2257,rail-retirement,rail-retirement,CLOSED,2026-08-31,code-quality|money-path|area:backend,"safe-retirement: delete the Haven-as-merchant x402 resource surface (routes, tables, AllowanceModule verifier)"
2253,stale-doc,stale-doc,CLOSED,2026-08-31,code-quality|area:docs,`--unwire` has no entry of its own in the connector subcommand list of mcp-runtime-compatibility.md
2251,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,"/agents: the agent card cannot shrink below ~399px, so at 390 it overflows its grid track and is clipped"
2247,stale-doc,stale-doc|security,CLOSED,2026-08-30,code-quality|money-path,"signer: the gasless-sweep destination check is conditional on the local credential, but its code comment claims it is unconditional"
2246,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,UsingYourAgentInfo.tsx still carries two avoid-listed CASP product-copy phrases; its tracker (#2063) closed without fixing them
2245,rail-retirement,rail-retirement,CLOSED,2026-08-30,code-quality|money-path|area:backend,"POST /x402/authorize: a caller-supplied settlementScheme diverts a retired-rail account off the #1986 410, into a 400 saying the retired rail settles via EIP-3009"
2244,stale-doc,stale-doc,CLOSED,2026-08-30,code-quality|area:docs,Re-verify docs/regulatory/casp-risk-guardrails.md against the code (worst-ranked contract doc: 55 commits since last-verified 2026-08-26)
2243,stale-doc,stale-doc,CLOSED,2026-08-30,code-quality|area:docs,"Re-verify packages/signer/README.md against the code (most stale governed doc, last-verified 2026-06-03)"
2242,security,security,OPEN,2026-08-30,code-quality|area:docs|operator-verify,"packages/signer/README.md asserts a false security property: ""the signer makes no network calls"" (untrue since #1263)"
2241,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,/accounts: the card's set-active / set-default controls are hover-only and under the touch-target floor
2237,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,AgentCard's title row still uses the pre-#2223 non-wrapping idiom for name + status badge
2236,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,/accounts: the card's hover actions are ~102px wide but the title row reserves only 48px
2235,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,/accounts: the wrapped `default` badge lands alone on its own line — decide where the badges belong
2230,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,"AgentCard and the agent-detail banner say ""Paused in Haven"" in two different sentences"
2226,false-instrument,false-instrument,CLOSED,2026-08-30,code-quality|ci-health,🩺 A scheduled CI guard has stopped proving its guarantee
2225,false-instrument,false-instrument,CLOSED,2026-08-30,code-quality|area:frontend,"screenshot fixture: /portfolio and /balances are address-blind, so two accounts render byte-identical balances"
2224,rail-retirement,rail-retirement|copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,"AgentCard: an on-chain AllowanceModule budget is captioned ""Configured in Haven"" when its account is not the active one"
2223,copy-ux,copy-ux,CLOSED,2026-08-30,code-quality|area:frontend,/accounts: account name truncates when a second account brings the Active/default badges into the title row
2218,false-instrument,false-instrument,CLOSED,2026-08-30,code-quality|area:frontend,"Update-visual-baselines runs --update-snapshots=all, so every dispatch can silently re-bless baselines that were not failing"
2216,copy-ux,copy-ux,CLOSED,2026-08-29,code-quality|area:frontend,"AgentCard's warning callouts paint title AND body in --v2-warning, while ApprovalRequiredBanner reserves the tint for the icon"
2214,logic-bug,logic-bug,CLOSED,2026-08-29,enhancement|money-path|area:backend,pre-#2094 intents (delegation_hash NULL) are excluded from the settlement sweep silently — never counted or logged as unresolved
2213,logic-bug,logic-bug,CLOSED,2026-08-29,bug|money-path|area:backend,settlement sweep reports a payment 'completed' when no machine_payment_evidence row landed — re-creates #2117 silently and irreversibly
2211,flake,flake,CLOSED,2026-08-29,code-quality|area:backend,resetDb() cost grows with every migration — any real-DB test resetting more than once will hit the same wall
2209,flake,flake,CLOSED,2026-08-29,code-quality|area:backend,Flake: passport-rail-eligibility 'SQL and TS predicates agree' times out at the 5s default under a scoped parallel run
2208,false-instrument,false-instrument,CLOSED,2026-08-29,code-quality|area:backend,No CI job re-proves the advisory-lock deadlock end to end (40P01 against CREATE INDEX CONCURRENTLY)
2204,flake,flake,CLOSED,2026-08-29,code-quality|area:frontend,screenshot harness: the /agents desktop capture is not deterministic — observed 80px shorter in 1 of 4 identical runs
2203,copy-ux,copy-ux,CLOSED,2026-08-29,code-quality|area:frontend,"agent detail: the ""Recover funds"" button is a ~24px tap target — the smallest control on a money-recovery path"
2202,false-instrument,false-instrument,CLOSED,2026-08-29,code-quality|area:frontend,screenshot fixture: agent-ops claims account_type null while sharing a delegator_hybrid safe with two other agents
2200,process,process,CLOSED,2026-08-29,code-quality|area:docs,money-path: coupling-gate.mjs is the CASP shard requirement's control surface and is on no list
2198,flake,flake,CLOSED,2026-08-29,code-quality|area:backend,Test harness holds a BLOCKING advisory lock across runMigrations — deadlocks the first non-transactional migration
2196,copy-ux,copy-ux,CLOSED,2026-08-29,code-quality|area:frontend,"agent detail: the recoverable-funds banner and the payment that caused it are a full screen apart, with nothing linking them"
2195,copy-ux,copy-ux,CLOSED,2026-08-29,code-quality|area:frontend,"stranded-funds copy: two screens describe the same reconciliation event in two different sentences, both singular"
2194,false-instrument,false-instrument,CLOSED,2026-08-29,code-quality|area:frontend,"screenshot fixture: the ""Recoverable funds"" banner renders from a delegate-balance response the API cannot emit"
2192,false-instrument,false-instrument,CLOSED,2026-08-29,code-quality|area:docs,Coupling gate: a money-path PR can satisfy the CASP contract-doc gate by editing an OLD shard instead of writing its own
2191,process,process,CLOSED,2026-08-29,code-quality|area:docs,"CASP changelog: three byte-identical copies of the #1403 shard, two with copy-suffix filenames"
2188,process,process,CLOSED,2026-08-29,code-quality|area:docs,"Docs: state that a merged CASP shard is immutable, and how to correct one"
2187,false-instrument,false-instrument,CLOSED,2026-08-29,code-quality|area:sdk,"Connect: delete the unreachable --rekey-finish api-key guard, or make args.ts delegate to it"
2186,flake,flake,CLOSED,2026-08-28,qa-failure,qa-dev money-flow failed (2026-08-28)
2184,logic-bug,logic-bug,CLOSED,2026-08-28,code-quality|area:sdk,"Connect: --rekey, --doctor and --unwire lose their failure entirely under --json (stderr-only, empty stdout)"
2179,process,process,CLOSED,2026-08-28,test,connect test suite writes into the real ~/.hermes when HERMES_HOME is exported — Hermes-path tests must clear it
2175,logic-bug,logic-bug,CLOSED,2026-08-28,area:sdk|area:docs,Repro the field-reported haven-reset tombstone failure (no TOMBSTONE.json written) — code says it cannot fail silently
2174,feature,feature,CLOSED,2026-08-28,area:sdk|area:docs,Connect: emit installed-clients scan results as a non-selecting hint in the runtime_undetermined --json refusal
2173,feature,feature,CLOSED,2026-08-28,area:sdk|area:docs,Connect: add hosted_mcp_url + superseded_agent_ids to the --json outcome and persist the terminal outcome to a recovery file
2170,stale-doc,stale-doc,CLOSED,2026-08-28,code-quality|area:docs,autonomous-pr-loop.md's ruleset inventory describes three rulesets and one that no longer exists
2169,feature,feature,CLOSED,2026-08-28,enhancement|code-quality|area:connect,connect writes runtime config but cannot un-wire it — removal leaves the MCP pair and the Hermes env key behind
2168,feature,feature,CLOSED,2026-08-28,code-quality|area:docs,haven-reset has no verified Hermes procedure — the canonical reset skill refuses the runtime that most needs it
2165,process,process,CLOSED,2026-08-28,code-quality|area:docs,Nothing stops a dev → main promotion being squash-merged — the branch-and-release rule is prose only
2164,false-instrument,false-instrument,CLOSED,2026-08-28,code-quality|money-path|area:docs,qa-freshness fails on every release by construction — the bump rewrites SIGNER_VERSION after the QA run
2163,process,process,CLOSED,2026-08-28,enhancement|code-quality|area:docs,"ship-next: add a stopping rule for self-inflicted rework, and stop writing assertions over prose"
2159,feature,feature,CLOSED,2026-08-28,area:qa,feat(qa-agent): scenario for the x402 eip3009 funded-but-undelivered crash shape (#2145)
2155,logic-bug,logic-bug,CLOSED,2026-08-28,,connect: tombstone record dies with a deleted agent dir — mirror it under ~/.haven/tombstones so removal keeps a surviving record
2151,process,process,CLOSED,2026-08-28,code-quality|area:docs,Promotion checklist says nothing about a migration's lock duration on a hot table
2150,feature,feature,CLOSED,2026-08-28,code-quality|area:backend,"Migration runner has no per-migration transactional opt-out, so CREATE INDEX CONCURRENTLY is impossible"
2147,false-instrument,false-instrument,CLOSED,2026-08-28,code-quality|area:frontend,"screenshot fixture: no row seeds needs_attention, so the unsettled-payment banner's specific copy is never captured"
2145,logic-bug,logic-bug,CLOSED,2026-08-28,bug|money-path|area:backend|area:sdk,"x402: a payment that funded but never reached the merchant reports `next_action: none` — ""The payment is confirmed"""
2140,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,safe-retirement: two QA instructions tell a tester (and a live QA agent) to expect an approval queue that cannot occur
2138,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,safe-retirement: the Agent Passport product doc tells merchants a passport means on-chain enforcement — false for a legacy-rail agent that can still hold one
2136,feature,feature,CLOSED,2026-08-27,enhancement|area:backend|area:docs,erc7710 passive observation: absorb the coverage from PR #2134 that #2135 did not carry
